"","ID","step","angle","TimeNum","locType","time","mu.x","nu.x","mu.y","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed","x","y","Bottom.Temp","Exposure","Location","Year","TSR","HoD"
"1","31288",20.4089159369841,NA,418031.216666667,"p",2017-09-08 23:13:00,1143948.652,-12.3243257327679,5065547.587,-39.175683341803,0,33.9778413087118,0,33.9778413087118,41.0685179920652,1143948.652,5065547.587,-0.84,"Pre","Carson","2017",2.71666666666667,23
"3","31288",19.1511032013763,-0.000826337095658269,418031.716666667,"p",2017-09-08 23:43:00,1143942.52595644,-12.0876873276647,5065528.11919478,-38.3892552865863,8.30223463893909,20.744758374105,8.30223463893909,20.744758374105,40.2473242140403,1143942.52595644,5065528.11919478,-0.847058823529412,"Pre","Carson","2017",3.21666666666667,23
"4","31288",12.3985509044682,-0.00751713437609114,418032.216666667,"p",2017-09-09 00:13:00,1143936.76237076,-10.5534561161436,5065509.85595756,-33.2904951449137,6.338122750468,22.1685159629597,6.338122750468,22.1685159629597,34.923237292509,1143936.76237076,5065509.85595756,-0.854117647058824,"Pre","Carson","2017",3.71666666666667,0
"6","31288",9.26022249628622,-0.0226842990753924,418032.716666667,"p",2017-09-09 00:43:00,1143932.94221288,-3.96850386041577,5065498.06060007,-11.0736155527362,0.494671608241265,8.0114730231088,0.494671608241265,8.0114730231088,11.7632471834922,1143932.94221288,5065498.06060007,-0.86,"Pre","Carson","2017",4.21666666666667,0
"9","31288",15.8593946572885,-0.343873003460805,418033.216666667,"p",2017-09-09 01:13:00,1143929.88992469,-7.16464209064814,5065489.31787409,-15.9783222545966,0.846699474429977,10.1729543398169,0.846699474429977,10.1729543398169,17.5111072853439,1143929.88992469,5065489.31787409,-0.88,"Pre","Carson","2017",4.71666666666667,1
"11","31288",20.1752976242804,0.172809486436668,418033.716666667,"p",2017-09-09 01:43:00,1143919.92052813,-26.5247913827569,5065476.98371295,-31.2324305029368,5.46925040567718,19.1582567056609,5.46925040567718,19.1582567056609,40.9759596961383,1143919.92052813,5065476.98371295,-0.894705882352941,"Pre","Carson","2017",5.21666666666667,1
"12","31288",19.1004665226253,1.01447237514371,418034.216666667,"p",2017-09-09 02:13:00,1143910.12503352,-3.89127920644203,5065459.34594326,-40.0090765083934,3.38662073459666,20.6135125585137,3.38662073459666,20.6135125585137,40.1978638352459,1143910.12503352,5065459.34594326,-0.912352941176471,"Pre","Carson","2017",5.71666666666667,2
"15","31288",10.9673862018386,-1.91830511088836,418034.716666667,"p",2017-09-09 02:43:00,1143919.408,-12.1897128151133,5065442.653,4.97176587703985,0,8.41391110007706,0,8.41391110007706,13.1646327123485,1143919.408,5065442.653,-0.92,"Pre","Carson","2017",6.21666666666667,2
"18","31288",27.171052214364,1.02903886620481,418035.216666667,"p",2017-09-09 03:13:00,1143908.58070867,-22.6526696918243,5065440.90562413,-4.4059618998489,1.11373246338607,14.5582519555062,1.11373246338607,14.5582519555062,23.0771736664137,1143908.58070867,5065440.90562413,-0.935714285714286,"Pre","Carson","2017",6.71666666666667,3
"22","31288",31.0091057484538,-0.0688143788644142,418035.716666667,"p",2017-09-09 03:43:00,1143898.45824585,-15.8728952262034,5065415.69051308,-50.4085263109116,0.773304597167248,9.97008024039927,0.773304597167248,9.97008024039927,52.8485413961436,1143898.45824585,5065415.69051308,-0.94,"Pre","Carson","2017",7.21666666666667,3
